NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
FAM46B	FAM46B	FAM46B	family with sequence similarity 46, member B	0.48366818	
NLRX1	NLRX1	null	null	0.48293653	
CNNM4	CNNM4	CNNM4	cyclin M4	0.4827942	
HCP5	HCP5	HCP5	HLA complex P5	0.4822717	
S100A9	S100A9	S100A9	S100 calcium binding protein A9	0.48217276	
CD2AP	CD2AP	CD2AP	CD2-associated protein	0.48184767	
STAT1	STAT1	STAT1	signal transducer and activator of transcription 1, 91kDa	0.48062998	
IPPK	IPPK	IPPK	inositol 1,3,4,5,6-pentakisphosphate 2-kinase	0.4802782	
CD68	CD68	CD68	CD68 molecule	0.47967702	
ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	0.47912547	
SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	0.4753512	
LIPA	LIPA	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	0.47486156	
SLC36A1	SLC36A1	SLC36A1	solute carrier family 36 (proton/amino acid symporter), member 1	0.4746665	
SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	0.47441977	
TUFT1	TUFT1	TUFT1	tuftelin 1	0.47438017	
C8orf82	C8orf82	null	null	0.4741554	
CCR5	CCR5	CCR5	chemokine (C-C motif) receptor 5	0.47314417	
GNA15	GNA15	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	0.47293457	
BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	0.46921247	
FCHO2	FCHO2	FCHO2	FCH domain only 2	0.4671119	
IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	0.46445674	
ZNF347	ZNF347	ZNF347	zinc finger protein 347	0.4624761	
TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.46246535	
VAMP8	VAMP8	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	0.46245006	
DSC2	DSC2	DSC2	desmocollin 2	0.46205813	
BTN2A3P	BTN2A3P	null	null	0.46163702	
KCTD9	KCTD9	KCTD9	potassium channel tetramerisation domain containing 9	0.46127355	
PRRG4	PRRG4	PRRG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	0.45878074	
CCL18	CCL18	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	0.45832023	
HTRA4	HTRA4	HTRA4	HtrA serine peptidase 4	0.45755515	
CDCP1	CDCP1	CDCP1	CUB domain containing protein 1	0.45750788	
CXCL16	CXCL16	CXCL16	chemokine (C-X-C motif) ligand 16	0.45692113	
CRYL1	CRYL1	CRYL1	crystallin, lambda 1	0.45635334	
CCR1	CCR1	CCR1	chemokine (C-C motif) receptor 1	0.45622304	
LAP3P2	LAP3P2	null	null	0.45617163	
GPRC5C	GPRC5C	GPRC5C	G protein-coupled receptor, family C, group 5, member C	0.45616046	
MT1G	MT1G	MT1G	metallothionein 1G	0.45567533	
RAB14	RAB14	RAB14	RAB14, member RAS oncogene family	0.45473507	
ARHGEF10L	ARHGEF10L	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	0.45411965	
C15orf57	C15orf57	null	null	0.45402527	
C15orf48	C15orf48	C15ORF48	chromosome 15 open reading frame 48	0.45342952	
ACER2	ACER2	null	null	0.4507907	
FBXO6	FBXO6	FBXO6	F-box protein 6	0.45020926	
NFE2L2	NFE2L2	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	0.4482959	
PSRC1	PSRC1	PSRC1	proline/serine-rich coiled-coil 1	0.4479577	
FCGR1C	FCGR1C	FCGR1C	Fc fragment of IgG, high affinity Ic, receptor (CD64)	0.44665474	
ZNF28	ZNF28	ZNF28	zinc finger protein 28	0.4450535	
TIMM8B	TIMM8B	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B (yeast)	0.44429997	
RNF19A	RNF19A	null	null	0.4439769	
CLEC2B	CLEC2B	CLEC2B	C-type lectin domain family 2, member B	0.44327655	
PSTPIP2	PSTPIP2	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	0.443049	
PTAFR	PTAFR	PTAFR	platelet-activating factor receptor	0.44169185	
CD38	CD38	CD38	CD38 molecule	0.43882295	
CD200	CD200	CD200	CD200 molecule	0.43837467	
IRF1	IRF1	IRF1	interferon regulatory factor 1	0.4379375	
NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	0.43742245	
HLA-DQA1	HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	0.43739393	
JHDM1D-AS1	JHDM1D-AS1	null	null	0.43674728	
ZNF845	ZNF845	null	null	0.43672603	
SPINT2	SPINT2	SPINT2	serine peptidase inhibitor, Kunitz type, 2	0.43558824	
LILRA6	LILRA6	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	0.43556866	
CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	0.43535194	
FAM84A	FAM84A	FAM84A	family with sequence similarity 84, member A	0.43527332	
HRNR	HRNR	HRNR	hornerin	0.43428412	
SLC6A6	SLC6A6	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	0.43358493	
CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	0.4332081	
ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	0.43281776	
LILRB2	LILRB2	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	0.43130833	
HSPB1	HSPB1	HSPB1	heat shock 27kDa protein 1	0.43037945	
ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	0.43008983	
TALDO1	TALDO1	TALDO1	transaldolase 1	0.42969844	
TMPPE	TMPPE	null	null	0.42931134	
SLC2A9	SLC2A9	SLC2A9	solute carrier family 2 (facilitated glucose transporter), member 9	0.429257	
PTCH1	PTCH1	PTCH1	patched homolog 1 (Drosophila)	0.42918772	
CCL3	CCL3	CCL3	chemokine (C-C motif) ligand 3	0.42861986	
GPC4	GPC4	GPC4	glypican 4	0.42850074	
JUP	JUP	JUP	junction plakoglobin	0.42752114	
CCNG1	CCNG1	CCNG1	cyclin G1	0.42626786	
EMILIN2	EMILIN2	EMILIN2	elastin microfibril interfacer 2	0.4261654	
SAMSN1	SAMSN1	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	0.42614186	
ZNF816	ZNF816	null	null	0.4251834	
GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	0.4247583	
IQGAP2	IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	0.4243036	
PTGES3P1	PTGES3P1	null	null	0.42381966	
AC008738.1	AC008738.1	null	null	0.42273617	
LACC1	LACC1	null	null	0.42230493	
CLEC7A	CLEC7A	CLEC7A	C-type lectin domain family 7, member A	0.4218129	
ZFPM1	ZFPM1	ZFPM1	zinc finger protein, multitype 1	0.42143676	
IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	0.42139578	
F2R	F2R	F2R	coagulation factor II (thrombin) receptor	0.42124397	
ZDHHC7	ZDHHC7	ZDHHC7	zinc finger, DHHC-type containing 7	0.4208778	
RP11-27I1.4	RP11-27I1.4	null	null	0.42084366	
MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	0.42047033	
NCF2	NCF2	NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	0.4202901	
LAP3	LAP3	LAP3	leucine aminopeptidase 3	0.41992965	
BTN3A1	BTN3A1	BTN3A1	butyrophilin, subfamily 3, member A1	0.41980806	
RASGEF1B	RASGEF1B	RASGEF1B	RasGEF domain family, member 1B	0.41944537	
MRPL44	MRPL44	MRPL44	mitochondrial ribosomal protein L44	0.419132	
OSBPL8	OSBPL8	OSBPL8	oxysterol binding protein-like 8	0.41881418	
ZNF788	ZNF788	ZNF788	zinc finger family member 788	0.41854757	
SLC39A8	SLC39A8	SLC39A8	solute carrier family 39 (zinc transporter), member 8	0.41833642	
N4BP1	N4BP1	N4BP1	-	0.4180659	
AKR1A1	AKR1A1	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	0.41798922	
FGD6	FGD6	FGD6	FYVE, RhoGEF and PH domain containing 6	0.41772872	
MKLN1-AS	MKLN1-AS	null	null	0.4171656	
SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	0.41695973	
TLR3	TLR3	TLR3	toll-like receptor 3	0.41643304	
ELOVL7	ELOVL7	ELOVL7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	0.41611058	
SREK1IP1	SREK1IP1	null	null	0.41586757	
HLA-DMB	HLA-DMB	HLA-DMB	major histocompatibility complex, class II, DM beta	0.41500092	
ZNF880	ZNF880	null	null	0.4146841	
MFHAS1	MFHAS1	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	0.41450015	
CCSAP	CCSAP	null	null	0.4140956	
PIM1	PIM1	PIM1	pim-1 oncogene	0.41409498	
HSPB1P1	HSPB1P1	null	null	0.41380903	
SLC37A4	SLC37A4	SLC37A4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	0.41373894	
RNF111	RNF111	RNF111	ring finger protein 111	0.41368914	
BTN2A2	BTN2A2	BTN2A2	butyrophilin, subfamily 2, member A2	0.4128458	
HLA-DRB5	HLA-DRB5	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	0.41270256	
UBE2D1	UBE2D1	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	0.4124789	
PILRA	PILRA	PILRA	paired immunoglobin-like type 2 receptor alpha	0.41216743	
HTATSF1P2	HTATSF1P2	null	null	0.41155455	
ADHFE1	ADHFE1	ADHFE1	alcohol dehydrogenase, iron containing, 1	0.41152674	
CD300C	CD300C	CD300C	CD300c molecule	0.41135415	
CA2	CA2	CA2	carbonic anhydrase II	0.41077667	
CRIPT	CRIPT	CRIPT	cysteine-rich PDZ-binding protein	0.41010195	
TIFA	TIFA	TIFA	-	0.40955663	
TEX264	TEX264	TEX264	testis expressed sequence 264	0.40945753	
MROH6	MROH6	null	null	0.40935034	
S100A8	S100A8	S100A8	S100 calcium binding protein A8	0.4089436	
TRIM21	TRIM21	TRIM21	tripartite motif-containing 21	0.4068549	
APOL1	APOL1	APOL1	apolipoprotein L, 1	0.406476	
LPCAT3	LPCAT3	null	null	0.40573335	
ZNF468	ZNF468	ZNF468	zinc finger protein 468	0.40561256	
FAM83H	FAM83H	FAM83H	family with sequence similarity 83, member H	0.40559828	
PNMA2	PNMA2	PNMA2	paraneoplastic antigen MA2	0.40559316	
SERPINB1	SERPINB1	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	0.40545908	
SLC41A2	SLC41A2	SLC41A2	solute carrier family 41, member 2	0.4045474	
SORD	SORD	SORD	sorbitol dehydrogenase	0.40441668	
GPD2	GPD2	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	0.4040927	
RAB10	RAB10	RAB10	RAB10, member RAS oncogene family	0.40381747	
UBD	UBD	UBD	ubiquitin D	0.40377367	
RAP2B	RAP2B	RAP2B	RAP2B, member of RAS oncogene family	0.40350103	
GAREML	GAREML	null	null	0.4032631	
IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	0.40323934	
ARHGEF35	ARHGEF35	null	null	0.40315685	
MPP1	MPP1	MPP1	membrane protein, palmitoylated 1, 55kDa	0.4026437	
MAP1LC3B	MAP1LC3B	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta	0.40186572	
NRN1	NRN1	NRN1	neuritin 1	0.4011347	
PDPK2	PDPK2	PDPK2	-	0.40106767	
SPPL2A	SPPL2A	SPPL2A	-	0.40099174	
RNF19B	RNF19B	null	null	0.40007398	
TAP2	TAP2	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	0.3994665	
GDPGP1	GDPGP1	null	null	0.39891538	
HAVCR2	HAVCR2	HAVCR2	hepatitis A virus cellular receptor 2	0.39841235	
AC108488.4	AC108488.4	null	null	0.3983787	
TMEM176B	TMEM176B	TMEM176B	transmembrane protein 176B	0.39799398	
KIF21A	KIF21A	KIF21A	kinesin family member 21A	0.39779022	
SCPEP1	SCPEP1	SCPEP1	serine carboxypeptidase 1	0.3968331	
RMI1	RMI1	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	0.39669788	
B2M	B2M	B2M	beta-2-microglobulin	0.39664534	
STX17	STX17	STX17	syntaxin 17	0.39653778	
COMMD9	COMMD9	COMMD9	COMM domain containing 9	0.39535165	
U91328.19	U91328.19	null	null	0.39517215	
SNX16	SNX16	SNX16	sorting nexin 16	0.39500883	
LRRC3DN	LRRC3DN	null	null	0.3949679	
NMI	NMI	NMI	N-myc (and STAT) interactor	0.39470673	
GBP3	GBP3	GBP3	guanylate binding protein 3	0.3944621	
DPP7	DPP7	DPP7	dipeptidyl-peptidase 7	0.39438233	
FCGR3B	FCGR3B	FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	0.39433968	
ZNRF2	ZNRF2	ZNRF2	zinc and ring finger 2	0.39360514	
CD97	CD97	CD97	CD97 molecule	0.392761	
CLIC2	CLIC2	CLIC2	chloride intracellular channel 2	0.39257416	
LBX2-AS1	LBX2-AS1	null	null	0.3924232	
IMPA1	IMPA1	IMPA1	inositol(myo)-1(or 4)-monophosphatase 1	0.39097744	
ZNF813	ZNF813	null	null	0.39081585	
LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	0.39055005	
PRKACB	PRKACB	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	0.3902539	
SH2D2A	SH2D2A	SH2D2A	SH2 domain protein 2A	0.3901726	
PSMB8	PSMB8	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	0.38999635	
HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	0.38998646	
SEMA4G	SEMA4G	SEMA4G	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	0.38942474	
HPSE	HPSE	HPSE	heparanase	0.38939884	
FTH1P16	FTH1P16	null	null	0.3890516	
TOR4A	TOR4A	null	null	0.3889579	
RAPGEFL1	RAPGEFL1	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	0.38883027	
GM2A	GM2A	GM2A	GM2 ganglioside activator	0.3881933	
FBP1	FBP1	FBP1	fructose-1,6-bisphosphatase 1	0.38789523	
LAMB3	LAMB3	LAMB3	laminin, beta 3	0.38774028	
FCER1G	FCER1G	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	0.3871991	
SRGN	SRGN	null	null	0.3870895	
MT-RNR1	MT-RNR1	MT-RNR1	mitochondrially encoded 12S RNA	0.38688454	
CD44	CD44	CD44	CD44 molecule (Indian blood group)	0.3868441	
TRNAU1AP	TRNAU1AP	null	null	0.38645092	
IL32	IL32	IL32	interleukin 32	0.3862479	
CTSL	CTSL	CTSL	cathepsin L	0.3861031	
FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	0.3842408	
LASP1	LASP1	LASP1	LIM and SH3 protein 1	0.3840743	
MPZL2	MPZL2	null	null	0.38399348	
FCGR1A	FCGR1A	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	0.3839638	
JMJD7	JMJD7	null	null	0.38319188	
VAMP5	VAMP5	VAMP5	vesicle-associated membrane protein 5 (myobrevin)	0.38289326	
PTGS1	PTGS1	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	0.38183028	
GAPVD1	GAPVD1	GAPVD1	GTPase activating protein and VPS9 domains 1	0.38156313	
FTH1P11	FTH1P11	null	null	0.38154638	
APIP	APIP	APIP	APAF1 interacting protein	0.38123578	
CCL8	CCL8	CCL8	chemokine (C-C motif) ligand 8	0.38091642	
OSGIN2	OSGIN2	OSGIN2	oxidative stress induced growth inhibitor family member 2	0.38091034	
TMEM68	TMEM68	TMEM68	transmembrane protein 68	0.38022092	
VNN1	VNN1	VNN1	vanin 1	0.37989438	
RAB1A	RAB1A	RAB1A	RAB1A, member RAS oncogene family	0.37936142	
RP11-558F24.4	RP11-558F24.4	null	null	0.37902766	
SFXN2	SFXN2	SFXN2	sideroflexin 2	0.37890753	
TMEM54	TMEM54	TMEM54	transmembrane protein 54	0.37874433	
CFI	CFI	CFI	complement factor I	0.3784678	
CLTB	CLTB	CLTB	clathrin, light chain (Lcb)	0.37831482	
RILP	RILP	RILP	Rab interacting lysosomal protein	0.3782952	
MMAA	MMAA	MMAA	methylmalonic aciduria (cobalamin deficiency) cblA type	0.37763122	
CYP27A1	CYP27A1	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	0.37756348	
PTPRJ	PTPRJ	PTPRJ	protein tyrosine phosphatase, receptor type, J	0.3774187	
ADAMTSL4	ADAMTSL4	ADAMTSL4	ADAMTS-like 4	0.37526125	
COA6	COA6	null	null	0.3750217	
KCNK6	KCNK6	KCNK6	potassium channel, subfamily K, member 6	0.37498423	
BTN3A3	BTN3A3	BTN3A3	butyrophilin, subfamily 3, member A3	0.37482378	
PDK3	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	0.37427056	
WWC1	WWC1	WWC1	WW, C2 and coiled-coil domain containing 1	0.37417346	
LIN7C	LIN7C	LIN7C	lin-7 homolog C (C. elegans)	0.37368318	
TRAM1	TRAM1	TRAM1	translocation associated membrane protein 1	0.37260556	
CENPP	CENPP	CENPP	centromere protein P	0.37259462	
RP3-469D22.1	RP3-469D22.1	null	null	0.37221575	
PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	0.3721367	
HIST3H2A	HIST3H2A	HIST3H2A	histone cluster 3, H2a	0.37092194	
SIRPB1	SIRPB1	SIRPB1	signal-regulatory protein beta 1	0.3705172	
LYZ	LYZ	LYZ	lysozyme (renal amyloidosis)	0.3700477	
LRRC25	LRRC25	LRRC25	leucine rich repeat containing 25	0.36998034	
TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	0.36953375	
STX12	STX12	STX12	syntaxin 12	0.36937723	
TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	0.36926696	
EFR3A	EFR3A	null	null	0.36926675	
AC011897.1	AC011897.1	null	null	0.3691809	
MOSPD2	MOSPD2	MOSPD2	motile sperm domain containing 2	0.369176	
DMTN	DMTN	null	null	0.368879	
SDCBP2	SDCBP2	SDCBP2	syndecan binding protein (syntenin) 2	0.36882398	
EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	0.3687246	
IL1RN	IL1RN	IL1RN	interleukin 1 receptor antagonist	0.36854568	
PDHX	PDHX	PDHX	pyruvate dehydrogenase complex, component X	0.3684734	
LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	0.3684099	
ZNF320	ZNF320	ZNF320	zinc finger protein 320	0.36804613	
ZNF525	ZNF525	ZNF525	zinc finger protein 525	0.3679133	
GZMB	GZMB	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	0.36746266	
C15orf38-AP3S2	C15orf38-AP3S2	null	null	0.3672399	
KYNU	KYNU	KYNU	kynureninase (L-kynurenine hydrolase)	0.3669403	
GSTM4	GSTM4	GSTM4	glutathione S-transferase M4	0.36679614	
HLA-DMA	HLA-DMA	HLA-DMA	major histocompatibility complex, class II, DM alpha	0.36592808	
CECR6	CECR6	CECR6	cat eye syndrome chromosome region, candidate 6	0.36577904	
TNFSF13B	TNFSF13B	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	0.36577326	
CALCOCO2	CALCOCO2	CALCOCO2	calcium binding and coiled-coil domain 2	0.36530408	
MED18	MED18	MED18	mediator of RNA polymerase II transcription, subunit 18 homolog (S. cerevisiae)	0.3650702	
ADAP2	ADAP2	null	null	0.36496872	
GATM	GATM	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	0.3644933	
CTD-2008A1.2	CTD-2008A1.2	null	null	0.3643686	
TNFSF15	TNFSF15	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	0.36387613	
TPP1	TPP1	TPP1	tripeptidyl peptidase I	0.3636227	
WARS	WARS	WARS	tryptophanyl-tRNA synthetase	0.36336705	
EFHD1	EFHD1	EFHD1	EF-hand domain family, member D1	0.36322692	
PTTG1	PTTG1	PTTG1	pituitary tumor-transforming 1	0.36262625	
UBE2W	UBE2W	UBE2W	ubiquitin-conjugating enzyme E2W (putative)	0.36259857	
CD84	CD84	CD84	CD84 molecule	0.36225352	
PRDM1	PRDM1	PRDM1	PR domain containing 1, with ZNF domain	0.36218685	
HLA-F	HLA-F	HLA-F	major histocompatibility complex, class I, F	0.3621838	
APOL6	APOL6	APOL6	apolipoprotein L, 6	0.3621659	
HOPX	HOPX	null	null	0.36197376	
LILRB3	LILRB3	LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	0.36194342	
GRINA	GRINA	GRINA	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	0.36187753	
NFAM1	NFAM1	NFAM1	NFAT activating protein with ITAM motif 1	0.36053494	
CBR1	CBR1	CBR1	carbonyl reductase 1	0.36045545	
XRN1	XRN1	XRN1	5'-3' exoribonuclease 1	0.3604507	
