NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
IMPA1	IMPA1	IMPA1	inositol(myo)-1(or 4)-monophosphatase 1	0.6273613	
ERBB2	ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	0.62303776	
EFR3A	EFR3A	null	null	0.61948675	
BMP8B	BMP8B	BMP8B	bone morphogenetic protein 8b (osteogenic protein 2)	0.6188966	
DHFR	DHFR	DHFR	dihydrofolate reductase	0.6184621	
DHFRP1	DHFRP1	DHFRP1	dihydrofolate reductase pseudogene 1	0.6159294	
DOLPP1	DOLPP1	DOLPP1	dolichyl pyrophosphate phosphatase 1	0.61345166	
PCDHGB4	PCDHGB4	PCDHGB4	protocadherin gamma subfamily B, 4	0.61291236	
HLA-H	HLA-H	HLA-H	major histocompatibility complex, class I, H (pseudogene)	0.6112561	
HLA-C	HLA-C	HLA-C	major histocompatibility complex, class I, C	0.61021596	
TNFSF13B	TNFSF13B	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	0.6095967	
PPAP2C	PPAP2C	PPAP2C	phosphatidic acid phosphatase type 2C	0.6092899	
GPR84	GPR84	GPR84	G protein-coupled receptor 84	0.6092878	
EMR2	EMR2	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	0.6063443	
FCGR3B	FCGR3B	FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	0.6056112	
CEP72	CEP72	CEP72	centrosomal protein 72kDa	0.6048808	
MRPL13	MRPL13	MRPL13	mitochondrial ribosomal protein L13	0.6042565	
CTSS	CTSS	CTSS	cathepsin S	0.60390294	
FCGR1C	FCGR1C	FCGR1C	Fc fragment of IgG, high affinity Ic, receptor (CD64)	0.602207	
FGL2	FGL2	FGL2	fibrinogen-like 2	0.60095495	
POMK	POMK	null	null	0.6003662	
RARRES3	RARRES3	RARRES3	retinoic acid receptor responder (tazarotene induced) 3	0.59485	
LYPLA1	LYPLA1	LYPLA1	lysophospholipase I	0.5939871	
SLAMF7	SLAMF7	SLAMF7	SLAM family member 7	0.591125	
TMED2	TMED2	TMED2	transmembrane emp24 domain trafficking protein 2	0.5886623	
ZNF557	ZNF557	ZNF557	zinc finger protein 557	0.58848894	
EGLN3	EGLN3	EGLN3	egl nine homolog 3 (C. elegans)	0.58379143	
CD200	CD200	CD200	CD200 molecule	0.58193856	
CXCR6	CXCR6	CXCR6	chemokine (C-X-C motif) receptor 6	0.58057964	
ZNF347	ZNF347	ZNF347	zinc finger protein 347	0.5769277	
DERL1	DERL1	DERL1	Der1-like domain family, member 1	0.5767633	
POLR2K	POLR2K	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	0.5745892	
LYPLA1P3	LYPLA1P3	null	null	0.5734702	
ZNF880	ZNF880	null	null	0.57274055	
ITFG3	ITFG3	ITFG3	integrin alpha FG-GAP repeat containing 3	0.5716053	
IMPAD1	IMPAD1	IMPAD1	inositol monophosphatase domain containing 1	0.5696163	
FZD3	FZD3	FZD3	frizzled homolog 3 (Drosophila)	0.5672174	
FASTKD5	FASTKD5	FASTKD5	FAST kinase domains 5	0.56534195	
TIMM8B	TIMM8B	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B (yeast)	0.56372607	
SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	0.5633336	
PSTPIP2	PSTPIP2	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	0.56318665	
B2M	B2M	B2M	beta-2-microglobulin	0.5629114	
ZNF28	ZNF28	ZNF28	zinc finger protein 28	0.5596259	
UBC	UBC	UBC	ubiquitin C	0.55949426	
ANXA9	ANXA9	ANXA9	annexin A9	0.55885226	
IGSF6	IGSF6	IGSF6	immunoglobulin superfamily, member 6	0.5571871	
CCNE2	CCNE2	CCNE2	cyclin E2	0.556134	
ZNF528	ZNF528	ZNF528	zinc finger protein 528	0.5551329	
UBD	UBD	UBD	ubiquitin D	0.5544749	
STAT1	STAT1	STAT1	signal transducer and activator of transcription 1, 91kDa	0.5543479	
CXCL9	CXCL9	CXCL9	chemokine (C-X-C motif) ligand 9	0.554258	
CD8A	CD8A	CD8A	CD8a molecule	0.5536671	
GBP5	GBP5	GBP5	guanylate binding protein 5	0.55241424	
TCEB1	TCEB1	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	0.552094	
GCAT	GCAT	GCAT	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	0.5520652	
ABHD3	ABHD3	ABHD3	abhydrolase domain containing 3	0.5516463	
GBP4	GBP4	GBP4	guanylate binding protein 4	0.5502729	
FAM49B	FAM49B	FAM49B	family with sequence similarity 49, member B	0.54940724	
KIF21A	KIF21A	KIF21A	kinesin family member 21A	0.54920083	
SQSTM1	SQSTM1	SQSTM1	sequestosome 1	0.5465715	
LAP3	LAP3	LAP3	leucine aminopeptidase 3	0.5462857	
SPPL2A	SPPL2A	SPPL2A	-	0.5462423	
RAD21	RAD21	RAD21	RAD21 homolog (S. pombe)	0.5441188	
TOM1	TOM1	TOM1	target of myb1 (chicken)	0.54268765	
LAP3P2	LAP3P2	null	null	0.5419492	
GGH	GGH	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	0.5418728	
CCL4	CCL4	CCL4	chemokine (C-C motif) ligand 4	0.5414559	
C8orf76	C8orf76	C8ORF76	chromosome 8 open reading frame 76	0.541335	
FCGR1A	FCGR1A	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	0.5410425	
RAB2A	RAB2A	null	null	0.5404839	
WARS	WARS	WARS	tryptophanyl-tRNA synthetase	0.5397683	
TAP2	TAP2	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	0.53976256	
SLC45A4	SLC45A4	SLC45A4	solute carrier family 45, member 4	0.5381591	
CCL8	CCL8	CCL8	chemokine (C-C motif) ligand 8	0.53714556	
ZNF320	ZNF320	ZNF320	zinc finger protein 320	0.5366821	
FAM84A	FAM84A	FAM84A	family with sequence similarity 84, member A	0.53660667	
AC084219.4	AC084219.4	null	null	0.5354901	
MCM2	MCM2	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	0.5354157	
MTDH	MTDH	MTDH	metadherin	0.53482765	
PDIK1L	PDIK1L	PDIK1L	PDLIM1 interacting kinase 1 like	0.5345099	
GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	0.53437	
HLA-B	HLA-B	HLA-B	major histocompatibility complex, class I, B	0.53378475	
CREG1	CREG1	CREG1	cellular repressor of E1A-stimulated genes 1	0.5321561	
CCL4L2	CCL4L2	CCL4L2	chemokine (C-C motif) ligand 4-like 2	0.5315965	
SLC39A8	SLC39A8	SLC39A8	solute carrier family 39 (zinc transporter), member 8	0.53048176	
IL18BP	IL18BP	IL18BP	interleukin 18 binding protein	0.53019446	
FNIP1	FNIP1	FNIP1	folliculin interacting protein 1	0.5299968	
RDH13	RDH13	RDH13	retinol dehydrogenase 13 (all-trans/9-cis)	0.5286503	
UBE2W	UBE2W	UBE2W	ubiquitin-conjugating enzyme E2W (putative)	0.5282513	
FCGR3A	FCGR3A	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	0.5278336	
IQGAP2	IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	0.527317	
KAL1	KAL1	KAL1	Kallmann syndrome 1 sequence	0.52709436	
TMEM70	TMEM70	TMEM70	transmembrane protein 70	0.52638775	
RDH10	RDH10	RDH10	retinol dehydrogenase 10 (all-trans)	0.52625185	
IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	0.5262077	
GPC4	GPC4	GPC4	glypican 4	0.5259417	
HRNR	HRNR	HRNR	hornerin	0.5237917	
RP1-90J20.12	RP1-90J20.12	null	null	0.5232141	
PTTG1	PTTG1	PTTG1	pituitary tumor-transforming 1	0.5225658	
LY96	LY96	LY96	lymphocyte antigen 96	0.5224683	
ZNF788	ZNF788	ZNF788	zinc finger family member 788	0.52068865	
PRF1	PRF1	PRF1	perforin 1 (pore forming protein)	0.52035725	
ALDH3B1	ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	0.5198504	
SLC2A9	SLC2A9	SLC2A9	solute carrier family 2 (facilitated glucose transporter), member 9	0.5195119	
PLA2G7	PLA2G7	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	0.5177161	
SLX4IP	SLX4IP	null	null	0.51744515	
GBP3	GBP3	GBP3	guanylate binding protein 3	0.5170097	
CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	0.5165465	
MGAT1	MGAT1	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.51644635	
PNMA2	PNMA2	PNMA2	paraneoplastic antigen MA2	0.51642114	
TCEB1P2	TCEB1P2	TCEB1P2	transcription elongation factor B (SIII), polypeptide 1 pseudogene 2	0.5160625	
COMMD5	COMMD5	COMMD5	COMM domain containing 5	0.5156048	
RP3-469D22.1	RP3-469D22.1	null	null	0.5155353	
PSMB8	PSMB8	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	0.51541036	
RMI1	RMI1	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	0.5153024	
SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	0.51508045	
TLR3	TLR3	TLR3	toll-like receptor 3	0.51210487	
MMAA	MMAA	MMAA	methylmalonic aciduria (cobalamin deficiency) cblA type	0.5117114	
SLC12A7	SLC12A7	SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7	0.5113672	
HNMT	HNMT	HNMT	histamine N-methyltransferase	0.5106147	
KCTD5	KCTD5	KCTD5	potassium channel tetramerisation domain containing 5	0.5105272	
CDC14B	CDC14B	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	0.50985634	
ZNF816	ZNF816	null	null	0.50942117	
ARL6IP1	ARL6IP1	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	0.50940144	
CLIP4	CLIP4	null	null	0.50920063	
RP11-158H5.7	RP11-158H5.7	null	null	0.508969	
GRINA	GRINA	GRINA	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	0.5087038	
YTHDF3	YTHDF3	YTHDF3	YTH domain family, member 3	0.5086336	
RP11-158K1.3	RP11-158K1.3	null	null	0.50848114	
ENPP4	ENPP4	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	0.5079052	
C15orf48	C15orf48	C15ORF48	chromosome 15 open reading frame 48	0.5067038	
HLA-DRB5	HLA-DRB5	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	0.5059692	
NIPAL2	NIPAL2	null	null	0.5051704	
ZNF845	ZNF845	null	null	0.5049086	
MT1G	MT1G	MT1G	metallothionein 1G	0.50406796	
ZNF490	ZNF490	ZNF490	zinc finger protein 490	0.5020353	
GALM	GALM	GALM	galactose mutarotase (aldose 1-epimerase)	0.5019293	
C1QB	C1QB	C1QB	complement component 1, q subcomponent, B chain	0.50177985	
MCM4	MCM4	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	0.5017417	
PTGES3	PTGES3	PTGES3	prostaglandin E synthase 3 (cytosolic)	0.5010783	
KALRN	KALRN	KALRN	kalirin, RhoGEF kinase	0.5010367	
ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	0.49932575	
RBM12B	RBM12B	RBM12B	RNA binding motif protein 12B	0.49917382	
GPN3	GPN3	null	null	0.49906048	
TONSL	TONSL	null	null	0.49825326	
SLFN11	SLFN11	SLFN11	schlafen family member 11	0.49711472	
CCR1	CCR1	CCR1	chemokine (C-C motif) receptor 1	0.49635628	
C8orf82	C8orf82	null	null	0.49497288	
SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	0.4947913	
LINC00839	LINC00839	null	null	0.49447328	
RP4-673M15.1	RP4-673M15.1	null	null	0.49362046	
ARHGEF35	ARHGEF35	null	null	0.49308673	
LILRB2	LILRB2	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	0.49259418	
APLP2	APLP2	APLP2	amyloid beta (A4) precursor-like protein 2	0.49244112	
TPMT	TPMT	TPMT	thiopurine S-methyltransferase	0.49195236	
PLXNB1	PLXNB1	PLXNB1	plexin B1	0.4908066	
FBXO6	FBXO6	FBXO6	F-box protein 6	0.490713	
BTN3A3	BTN3A3	BTN3A3	butyrophilin, subfamily 3, member A3	0.48989326	
CDKN2C	CDKN2C	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	0.48985535	
RAPGEFL1	RAPGEFL1	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	0.48961776	
CLDN23	CLDN23	CLDN23	claudin 23	0.48840955	
ESCO2	ESCO2	ESCO2	establishment of cohesion 1 homolog 2 (S. cerevisiae)	0.48800898	
RP11-496I2.5	RP11-496I2.5	null	null	0.48767453	
SDHD	SDHD	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	0.48756865	
AIF1L	AIF1L	null	null	0.48707575	
ADAM10	ADAM10	ADAM10	ADAM metallopeptidase domain 10	0.48703673	
POLK	POLK	POLK	polymerase (DNA directed) kappa	0.48686045	
EMC2	EMC2	null	null	0.48599845	
HTATSF1P2	HTATSF1P2	null	null	0.4859535	
ARMC1	ARMC1	ARMC1	armadillo repeat containing 1	0.48569274	
IRF1	IRF1	IRF1	interferon regulatory factor 1	0.4854298	
CYC1	CYC1	CYC1	cytochrome c-1	0.48520973	
DDI2	DDI2	DDI2	DDI1, DNA-damage inducible 1, homolog 2 (S. cerevisiae)	0.4846783	
SDHDP6	SDHDP6	SDHDP6	succinate dehydrogenase complex, subunit D, integral membrane protein pseudogene 6	0.48462343	
ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	0.48460722	
UTP23	UTP23	null	null	0.4840788	
FCHO2	FCHO2	FCHO2	FCH domain only 2	0.4836118	
AC011897.1	AC011897.1	null	null	0.4831031	
TLR4	TLR4	TLR4	toll-like receptor 4	0.48122585	
FANCB	FANCB	FANCB	Fanconi anemia, complementation group B	0.48119804	
TERF1P4	TERF1P4	null	null	0.48115546	
FAM129A	FAM129A	null	null	0.4810757	
GPRC5C	GPRC5C	GPRC5C	G protein-coupled receptor, family C, group 5, member C	0.48104316	
LRRC3	LRRC3	LRRC3	leucine rich repeat containing 3	0.48015243	
ZNF552	ZNF552	ZNF552	zinc finger protein 552	0.48010296	
EPS8L1	EPS8L1	EPS8L1	EPS8-like 1	0.47911972	
PCDHB11	PCDHB11	PCDHB11	protocadherin beta 11	0.4787362	
SYNC	SYNC	null	null	0.47871146	
TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	0.4784849	
NDUFB9	NDUFB9	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa	0.47809598	
RAB40C	RAB40C	RAB40C	RAB40C, member RAS oncogene family	0.47640428	
RP11-159G9.5	RP11-159G9.5	null	null	0.47610402	
CD68	CD68	CD68	CD68 molecule	0.4758613	
CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	0.47435066	
ZNF250	ZNF250	ZNF250	zinc finger protein 250	0.47400293	
EOMES	EOMES	EOMES	eomesodermin homolog (Xenopus laevis)	0.473706	
CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	0.47305408	
C1QA	C1QA	C1QA	complement component 1, q subcomponent, A chain	0.47280762	
IFITM3	IFITM3	IFITM3	interferon induced transmembrane protein 3 (1-8U)	0.47237542	
SMCO4	SMCO4	null	null	0.47236854	
SBNO1	SBNO1	SBNO1	strawberry notch homolog 1 (Drosophila)	0.46982855	
RP11-686D22.8	RP11-686D22.8	null	null	0.46944502	
ERI1	ERI1	null	null	0.46898836	
ADAP2	ADAP2	null	null	0.46791288	
BHLHE41	BHLHE41	null	null	0.46790516	
DLEU7	DLEU7	DLEU7	deleted in lymphocytic leukemia, 7	0.46782	
SCYL2	SCYL2	SCYL2	SCY1-like 2 (S. cerevisiae)	0.46767098	
CLEC2B	CLEC2B	CLEC2B	C-type lectin domain family 2, member B	0.46762523	
TMEM68	TMEM68	TMEM68	transmembrane protein 68	0.4667496	
CCR5	CCR5	CCR5	chemokine (C-C motif) receptor 5	0.466707	
ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	0.46649277	
MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	0.46639732	
MIR4519	MIR4519	null	null	0.46611866	
NFE2L3	NFE2L3	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	0.46585348	
TMF1	TMF1	TMF1	TATA element modulatory factor 1	0.46562606	
F2R	F2R	F2R	coagulation factor II (thrombin) receptor	0.46387398	
SIRPB1	SIRPB1	SIRPB1	signal-regulatory protein beta 1	0.4637188	
IFIH1	IFIH1	IFIH1	interferon induced with helicase C domain 1	0.46329963	
HIST1H2AG	HIST1H2AG	HIST1H2AG	histone cluster 1, H2ag	0.46305063	
RP11-495P10.10	RP11-495P10.10	null	null	0.4629171	
TBK1	TBK1	TBK1	TANK-binding kinase 1	0.4626169	
LPCAT3	LPCAT3	null	null	0.4625974	
AGPAT2	AGPAT2	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	0.46191996	
POLR3K	POLR3K	POLR3K	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa	0.4617667	
ABHD17C	ABHD17C	null	null	0.4607955	
MYLIP	MYLIP	MYLIP	myosin regulatory light chain interacting protein	0.46068746	
FAM26F	FAM26F	null	null	0.46056524	
ZHX1	ZHX1	ZHX1	zinc fingers and homeoboxes 1	0.46037912	
RP6-206I17.4	RP6-206I17.4	null	null	0.45903012	
LENG9	LENG9	LENG9	leukocyte receptor cluster (LRC) member 9	0.4590035	
CENPP	CENPP	CENPP	centromere protein P	0.45877507	
GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	0.45875087	
CHCHD7	CHCHD7	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	0.45856777	
C12orf4	C12orf4	C12ORF4	chromosome 12 open reading frame 4	0.45833352	
PTAFR	PTAFR	PTAFR	platelet-activating factor receptor	0.45826316	
COX6C	COX6C	COX6C	cytochrome c oxidase subunit VIc	0.4578913	
HSPB11	HSPB11	null	null	0.45698777	
CYP7B1	CYP7B1	CYP7B1	cytochrome P450, family 7, subfamily B, polypeptide 1	0.45664373	
KLC4	KLC4	KLC4	kinesin light chain 4	0.45654875	
DCAF13	DCAF13	null	null	0.45597854	
ITGB4	ITGB4	ITGB4	integrin, beta 4	0.45583937	
PSME2	PSME2	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	0.4556672	
LYZ	LYZ	LYZ	lysozyme (renal amyloidosis)	0.45559046	
HLA-G	HLA-G	HLA-G	HLA-G histocompatibility antigen, class I, G	0.45471072	
SNRPB2	SNRPB2	SNRPB2	small nuclear ribonucleoprotein polypeptide B''	0.45462936	
SNAI2	SNAI2	SNAI2	snail homolog 2 (Drosophila)	0.4543606	
HLA-E	HLA-E	HLA-E	major histocompatibility complex, class I, E	0.45389685	
IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	0.45384824	
PTPRJ	PTPRJ	PTPRJ	protein tyrosine phosphatase, receptor type, J	0.45257062	
C1QC	C1QC	C1QC	complement component 1, q subcomponent, C chain	0.45177004	
GNA15	GNA15	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	0.45117837	
TNRC18	TNRC18	TNRC18	trinucleotide repeat containing 18	0.45088756	
SLC41A2	SLC41A2	SLC41A2	solute carrier family 41, member 2	0.45071504	
MPZL2	MPZL2	null	null	0.45002615	
METTL7B	METTL7B	METTL7B	methyltransferase like 7B	0.44985	
PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	0.44977045	
SPINT1	SPINT1	SPINT1	serine peptidase inhibitor, Kunitz type 1	0.44932985	
NT5DC3	NT5DC3	NT5DC3	5'-nucleotidase domain containing 3	0.44852737	
KCNK5	KCNK5	KCNK5	potassium channel, subfamily K, member 5	0.44851422	
EMP2	EMP2	EMP2	epithelial membrane protein 2	0.4476202	
MRPS28	MRPS28	MRPS28	mitochondrial ribosomal protein S28	0.44743487	
MSRB1	MSRB1	null	null	0.4472479	
NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	0.44722062	
FPR3	FPR3	null	null	0.44667855	
DECR2	DECR2	DECR2	2,4-dienoyl CoA reductase 2, peroxisomal	0.44638297	
RAD54B	RAD54B	RAD54B	RAD54 homolog B (S. cerevisiae)	0.44576183	
RP11-680G24.5	RP11-680G24.5	null	null	0.4453789	
CCL18	CCL18	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	0.4452301	
FAM157B	FAM157B	null	null	0.4451524	
DEPDC7	DEPDC7	DEPDC7	DEP domain containing 7	0.445111	
STX17	STX17	STX17	syntaxin 17	0.4448934	
ALDH5A1	ALDH5A1	ALDH5A1	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	0.44448626	
RP11-164J13.1	RP11-164J13.1	null	null	0.44432616	
RP11-252A24.3	RP11-252A24.3	null	null	0.44408286	
TNFSF15	TNFSF15	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	0.44389224	
TANK	TANK	TANK	TRAF family member-associated NFKB activator	0.44386315	
EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	0.44382262	
TMEM176B	TMEM176B	TMEM176B	transmembrane protein 176B	0.4436372	
GAS2L3	GAS2L3	GAS2L3	growth arrest-specific 2 like 3	0.44345993	
XRN1	XRN1	XRN1	5'-3' exoribonuclease 1	0.44316784	
CDS2	CDS2	CDS2	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	0.44293207	
AC093627.10	AC093627.10	null	null	0.44222286	
HLA-J	HLA-J	HLA-J	major histocompatibility complex, class I, J (pseudogene)	0.44123724	
TLR8	TLR8	TLR8	toll-like receptor 8	0.44108665	
RB1CC1	RB1CC1	RB1CC1	RB1-inducible coiled-coil 1	0.44039813	
NEK6	NEK6	NEK6	NIMA (never in mitosis gene a)-related kinase 6	0.44028053	
DSC2	DSC2	DSC2	desmocollin 2	0.44003862	
FAM46B	FAM46B	FAM46B	family with sequence similarity 46, member B	0.43986553	
PILRA	PILRA	PILRA	paired immunoglobin-like type 2 receptor alpha	0.4393458	
LIPA	LIPA	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	0.43838552	
GS1-251I9.4	GS1-251I9.4	null	null	0.43813482	
SLC7A5P1	SLC7A5P1	null	null	0.43794832	
