NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
TPPP3	TPPP3	null	null	0.704761	
RP11-389C8.2	RP11-389C8.2	null	null	0.68778706	
PLVAP	PLVAP	PLVAP	plasmalemma vesicle associated protein	0.68192506	
RP5-1142A6.9	RP5-1142A6.9	null	null	0.6798984	
PTPRN2	PTPRN2	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	0.6737499	
HHIPL1	HHIPL1	null	null	0.67276835	
CD34	CD34	CD34	CD34 molecule	0.6724128	
ARRDC2	ARRDC2	ARRDC2	arrestin domain containing 2	0.67135185	
PNPLA7	PNPLA7	PNPLA7	patatin-like phospholipase domain containing 7	0.67132807	
PINLYP	PINLYP	null	null	0.66696405	
TMEM204	TMEM204	null	null	0.6647448	
MYCT1	MYCT1	MYCT1	myc target 1	0.664397	
PPARG	PPARG	PPARG	peroxisome proliferative activated receptor, gamma	0.66373074	
NDUFA4L2	NDUFA4L2	NDUFA4L2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2	0.6602984	
ESAM	ESAM	ESAM	endothelial cell adhesion molecule	0.6592946	
SOX18	SOX18	SOX18	SRY (sex determining region Y)-box 18	0.6574178	
GRAP	GRAP	GRAP	GRB2-related adaptor protein	0.6550948	
PER2	PER2	PER2	period homolog 2 (Drosophila)	0.6490136	
MRVI1	MRVI1	MRVI1	murine retrovirus integration site 1 homolog	0.64814967	
CRIP1	CRIP1	CRIP1	cysteine-rich protein 1 (intestinal)	0.64721125	
RBP7	RBP7	RBP7	retinol binding protein 7, cellular	0.6452318	
DPT	DPT	DPT	dermatopontin	0.6435528	
CLDN5	CLDN5	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	0.6406703	
FRY	FRY	FRY	furry homolog (Drosophila)	0.6402022	
CXorf36	CXorf36	CXORF36	chromosome X open reading frame 36	0.6375656	
ALDH2	ALDH2	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	0.63577133	
RP11-588K22.2	RP11-588K22.2	null	null	0.6340325	
EGFL7	EGFL7	EGFL7	EGF-like-domain, multiple 7	0.6326094	
SYNPO2	SYNPO2	SYNPO2	synaptopodin 2	0.6277588	
CPNE5	CPNE5	CPNE5	copine V	0.62721753	
RASA3	RASA3	RASA3	RAS p21 protein activator 3	0.6264382	
ERG	ERG	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	0.6251022	
ACTA2	ACTA2	ACTA2	actin, alpha 2, smooth muscle, aorta	0.62293386	
DDX60L	DDX60L	null	null	0.6225514	
RP11-244H3.1	RP11-244H3.1	null	null	0.62167335	
SHE	SHE	SHE	Src homology 2 domain containing E	0.61993545	
GPR146	GPR146	GPR146	G protein-coupled receptor 146	0.6194365	
MAF	MAF	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.6177413	
TMEM110-MUSTN1	TMEM110-MUSTN1	null	null	0.61614484	
KIAA1462	KIAA1462	KIAA1462	KIAA1462	0.616079	
MXD4	MXD4	MXD4	MAX dimerization protein 4	0.61594343	
A4GALT	A4GALT	A4GALT	alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)	0.61574984	
RP11-356I2.4	RP11-356I2.4	null	null	0.61527175	
CCDC57	CCDC57	CCDC57	coiled-coil domain containing 57	0.6146362	
RAI2	RAI2	RAI2	retinoic acid induced 2	0.6113718	
HTRA3	HTRA3	HTRA3	HtrA serine peptidase 3	0.60989475	
CDH5	CDH5	CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	0.6093623	
LRRC70	LRRC70	null	null	0.6082863	
REC8	REC8	null	null	0.6043038	
RP11-572C15.6	RP11-572C15.6	null	null	0.60281885	
TRIM66	TRIM66	TRIM66	tripartite motif-containing 66	0.60111403	
JMJD7	JMJD7	null	null	0.6001205	
TNFRSF4	TNFRSF4	TNFRSF4	tumor necrosis factor receptor superfamily, member 4	0.5990507	
CFD	CFD	CFD	complement factor D (adipsin)	0.5965707	
RAB33A	RAB33A	RAB33A	RAB33A, member RAS oncogene family	0.59543455	
C4orf33	C4orf33	C4ORF33	chromosome 4 open reading frame 33	0.5953696	
KIAA1551	KIAA1551	null	null	0.5926542	
IL34	IL34	null	null	0.58915406	
ERMARD	ERMARD	null	null	0.58699894	
KLF2	KLF2	KLF2	Kruppel-like factor 2 (lung)	0.585803	
P2RX5-TAX1BP3	P2RX5-TAX1BP3	null	null	0.5847822	
MT-ND3	MT-ND3	MT-ND3	mitochondrially encoded NADH dehydrogenase 3	0.5846651	
FAM124B	FAM124B	FAM124B	family with sequence similarity 124B	0.58446074	
MGST2	MGST2	MGST2	microsomal glutathione S-transferase 2	0.5843471	
FSTL1	FSTL1	FSTL1	follistatin-like 1	0.58299255	
NHLRC4	NHLRC4	null	null	0.58170325	
DDX26B	DDX26B	DDX26B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	0.58165747	
FAM98C	FAM98C	FAM98C	family with sequence similarity 98, member C	0.58138543	
ELMO3	ELMO3	ELMO3	engulfment and cell motility 3	0.5772797	
PLEKHF2	PLEKHF2	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2	0.57655746	
MYO15B	MYO15B	MYO15B	myosin XVB pseudogene	0.5763774	
KLF8	KLF8	KLF8	Kruppel-like factor 8	0.5758784	
SLC7A6	SLC7A6	SLC7A6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	0.5758525	
HDAC9	HDAC9	HDAC9	histone deacetylase 9	0.57328236	
CAPS	CAPS	CAPS	calcyphosine	0.5731067	
SH3BP5-AS1	SH3BP5-AS1	null	null	0.5694401	
JMJD7-PLA2G4B	JMJD7-PLA2G4B	null	null	0.5692634	
GMFG	GMFG	GMFG	glia maturation factor, gamma	0.5684349	
CCDC3	CCDC3	CCDC3	coiled-coil domain containing 3	0.5668151	
GAS6	GAS6	GAS6	growth arrest-specific 6	0.5659296	
CTD-3232M19.2	CTD-3232M19.2	null	null	0.56394833	
RASL11A	RASL11A	RASL11A	RAS-like, family 11, member A	0.56231695	
PAOX	PAOX	PAOX	polyamine oxidase (exo-N4-amino)	0.56187844	
MT-RNR1	MT-RNR1	MT-RNR1	mitochondrially encoded 12S RNA	0.5599058	
MAPK13	MAPK13	MAPK13	mitogen-activated protein kinase 13	0.5593056	
SMOC2	SMOC2	SMOC2	SPARC related modular calcium binding 2	0.5582	
IFFO1	IFFO1	null	null	0.5580545	
PIWIL4	PIWIL4	PIWIL4	piwi-like 4 (Drosophila)	0.55624485	
GATSL3	GATSL3	null	null	0.5553734	
NFKBID	NFKBID	null	null	0.5527452	
FILIP1L	FILIP1L	null	null	0.5520144	
EMB	EMB	EMB	embigin homolog (mouse)	0.5517388	
PIK3IP1	PIK3IP1	null	null	0.5511665	
KCTD11	KCTD11	KCTD11	potassium channel tetramerisation domain containing 11	0.5506426	
RP5-914P20.5	RP5-914P20.5	null	null	0.55055964	
FLT4	FLT4	FLT4	fms-related tyrosine kinase 4	0.5487378	
RNASE1	RNASE1	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	0.5485497	
RP11-617F23.1	RP11-617F23.1	null	null	0.5480887	
CLEC2B	CLEC2B	CLEC2B	C-type lectin domain family 2, member B	0.54800546	
ICAM2	ICAM2	ICAM2	intercellular adhesion molecule 2	0.5473768	
RHOF	RHOF	RHOF	ras homolog gene family, member F (in filopodia)	0.54668754	
CLK1	CLK1	CLK1	CDC-like kinase 1	0.54529065	
RP11-697E2.6	RP11-697E2.6	null	null	0.54491466	
LYRM9	LYRM9	null	null	0.54349244	
TTC9	TTC9	TTC9	tetratricopeptide repeat domain 9	0.54289526	
C15orf62	C15orf62	null	null	0.5420237	
CAMK1D	CAMK1D	CAMK1D	calcium/calmodulin-dependent protein kinase ID	0.54193157	
FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	0.5418137	
FRAT1	FRAT1	FRAT1	frequently rearranged in advanced T-cell lymphomas	0.541743	
C2orf88	C2orf88	null	null	0.5415923	
VWF	VWF	VWF	von Willebrand factor	0.54135746	
SH2D3C	SH2D3C	SH2D3C	SH2 domain containing 3C	0.5401454	
NPR1	NPR1	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	0.5400658	
C21orf2	C21orf2	C21ORF2	chromosome 21 open reading frame 2	0.5398456	
NTRK2	NTRK2	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	0.53911865	
CMAHP	CMAHP	null	null	0.53749603	
NBL1	NBL1	NBL1	neuroblastoma, suppression of tumorigenicity 1	0.53717935	
CFLAR	CFLAR	CFLAR	CASP8 and FADD-like apoptosis regulator	0.5369133	
SLC29A2	SLC29A2	SLC29A2	solute carrier family 29 (nucleoside transporters), member 2	0.534911	
ERMAP	ERMAP	ERMAP	erythroblast membrane-associated protein (Scianna blood group)	0.53454185	
CASP10	CASP10	CASP10	caspase 10, apoptosis-related cysteine peptidase	0.53410923	
SERPINF2	SERPINF2	SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	0.53409946	
LMF1	LMF1	null	null	0.5337691	
DUSP1	DUSP1	DUSP1	dual specificity phosphatase 1	0.5337673	
RP11-137L10.6	RP11-137L10.6	null	null	0.53277016	
PODN	PODN	PODN	podocan	0.5322697	
ARRDC4	ARRDC4	ARRDC4	arrestin domain containing 4	0.5303644	
LY96	LY96	LY96	lymphocyte antigen 96	0.52992976	
CMTR2	CMTR2	null	null	0.5284962	
CRIPAK	CRIPAK	CRIPAK	cysteine-rich PAK1 inhibitor	0.52846324	
SFRP4	SFRP4	SFRP4	secreted frizzled-related protein 4	0.5282844	
ALDH16A1	ALDH16A1	ALDH16A1	aldehyde dehydrogenase 16 family, member A1	0.52781206	
LFNG	LFNG	LFNG	lunatic fringe homolog (Drosophila)	0.5256496	
CYSLTR1	CYSLTR1	CYSLTR1	cysteinyl leukotriene receptor 1	0.5248819	
TINAGL1	TINAGL1	TINAGL1	tubulointerstitial nephritis antigen-like 1	0.5247836	
ACTG2	ACTG2	ACTG2	actin, gamma 2, smooth muscle, enteric	0.5241377	
RP11-658F2.8	RP11-658F2.8	null	null	0.52409965	
PRIMPOL	PRIMPOL	null	null	0.5219876	
PAPLN	PAPLN	PAPLN	papilin, proteoglycan-like sulfated glycoprotein	0.51983976	
C1QTNF5	C1QTNF5	C1QTNF5	C1q and tumor necrosis factor related protein 5	0.5187847	
MAST3	MAST3	MAST3	microtubule associated serine/threonine kinase 3	0.5183661	
RP5-894A10.2	RP5-894A10.2	null	null	0.5180629	
PCDH12	PCDH12	PCDH12	protocadherin 12	0.5176625	
SPINT2	SPINT2	SPINT2	serine peptidase inhibitor, Kunitz type, 2	0.51726854	
AC104698.1	AC104698.1	null	null	0.5160702	
D2HGDH	D2HGDH	D2HGDH	D-2-hydroxyglutarate dehydrogenase	0.5159891	
TUBA4A	TUBA4A	null	null	0.513771	
LINC00324	LINC00324	null	null	0.5132847	
ZNF837	ZNF837	null	null	0.5127261	
ACVRL1	ACVRL1	ACVRL1	activin A receptor type II-like 1	0.51177245	
PLCL1	PLCL1	PLCL1	phospholipase C-like 1	0.51108193	
EDN1	EDN1	EDN1	endothelin 1	0.51012444	
ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	0.5098015	
CTSO	CTSO	CTSO	cathepsin O	0.509186	
RP11-553L6.5	RP11-553L6.5	null	null	0.50873774	
LGI2	LGI2	LGI2	leucine-rich repeat LGI family, member 2	0.50858927	
EAF2	EAF2	EAF2	ELL associated factor 2	0.5081868	
ZNF467	ZNF467	ZNF467	zinc finger protein 467	0.5058532	
CCDC88B	CCDC88B	null	null	0.5058052	
NMI	NMI	NMI	N-myc (and STAT) interactor	0.50575054	
ANKRD23	ANKRD23	ANKRD23	ankyrin repeat domain 23	0.5055058	
GUSBP11	GUSBP11	null	null	0.50548863	
ZNF101	ZNF101	ZNF101	zinc finger protein 101	0.50548214	
ETS2	ETS2	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	0.504285	
LIME1	LIME1	LIME1	Lck interacting transmembrane adaptor 1	0.5042254	
IFNGR1	IFNGR1	IFNGR1	interferon gamma receptor 1	0.5042166	
ARHGAP27	ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	0.50327647	
CRYGS	CRYGS	CRYGS	crystallin, gamma S	0.5030811	
ADRB2	ADRB2	ADRB2	adrenergic, beta-2-, receptor, surface	0.5024159	
ARHGAP20	ARHGAP20	ARHGAP20	Rho GTPase activating protein 20	0.5017946	
FMO5	FMO5	FMO5	flavin containing monooxygenase 5	0.50169325	
CTC-559E9.5	CTC-559E9.5	null	null	0.50113916	
SPARCL1	SPARCL1	SPARCL1	SPARC-like 1 (mast9, hevin)	0.5010611	
LSR	LSR	LSR	lipolysis stimulated lipoprotein receptor	0.50104046	
KDR	KDR	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	0.5009749	
VWFP1	VWFP1	null	null	0.50073797	
GLCCI1	GLCCI1	GLCCI1	glucocorticoid induced transcript 1	0.5001534	
RAB11FIP1P1	RAB11FIP1P1	null	null	0.49929366	
ZFAND2B	ZFAND2B	ZFAND2B	zinc finger, AN1-type domain 2B	0.49900302	
CROCC	CROCC	CROCC	ciliary rootlet coiled-coil, rootletin	0.49808064	
GSDMD	GSDMD	null	null	0.49806014	
ITSN2	ITSN2	ITSN2	intersectin 2	0.4977209	
NPIPB4	NPIPB4	null	null	0.49732855	
ATG16L2	ATG16L2	ATG16L2	ATG16 autophagy related 16-like 2 (S. cerevisiae)	0.49676287	
RGCC	RGCC	null	null	0.49675682	
SPINT1	SPINT1	SPINT1	serine peptidase inhibitor, Kunitz type 1	0.49647656	
KLF4	KLF4	KLF4	Kruppel-like factor 4 (gut)	0.49522096	
DGKA	DGKA	DGKA	diacylglycerol kinase, alpha 80kDa	0.49504688	
LBH	LBH	LBH	-	0.49459073	
TTC39B	TTC39B	null	null	0.49371436	
CCDC109B	CCDC109B	CCDC109B	coiled-coil domain containing 109B	0.49318603	
MMRN2	MMRN2	MMRN2	multimerin 2	0.49288198	
ACSS1	ACSS1	ACSS1	acyl-CoA synthetase short-chain family member 1	0.49186528	
BCL6B	BCL6B	BCL6B	B-cell CLL/lymphoma 6, member B (zinc finger protein)	0.4911101	
ABCA7	ABCA7	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	0.49043182	
ZFAND4	ZFAND4	null	null	0.48950616	
NFKBIA	NFKBIA	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	0.48769218	
ARHGDIB	ARHGDIB	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	0.48746654	
MAP3K6	MAP3K6	MAP3K6	mitogen-activated protein kinase kinase kinase 6	0.48704052	
MTRNR2L12	MTRNR2L12	null	null	0.4862915	
RINL	RINL	null	null	0.48543075	
RP11-705C15.3	RP11-705C15.3	null	null	0.48490968	
CILP	CILP	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	0.48487195	
RP11-347C12.1	RP11-347C12.1	null	null	0.48413935	
S1PR1	S1PR1	null	null	0.48402885	
TLDC2	TLDC2	null	null	0.48395783	
MAOA	MAOA	MAOA	monoamine oxidase A	0.48306	
ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	0.4828521	
KB-431C1.4	KB-431C1.4	null	null	0.48260337	
RP3-368A4.5	RP3-368A4.5	null	null	0.48210874	
PRR5	PRR5	PRR5	proline rich 5 (renal)	0.4818554	
FAM43A	FAM43A	FAM43A	family with sequence similarity 43, member A	0.48124555	
LINC00342	LINC00342	null	null	0.48071006	
JAK1	JAK1	JAK1	Janus kinase 1 (a protein tyrosine kinase)	0.4806944	
POLD4	POLD4	POLD4	polymerase (DNA-directed), delta 4	0.4799302	
EPC1	EPC1	EPC1	enhancer of polycomb homolog 1 (Drosophila)	0.4798663	
PPP1R21	PPP1R21	null	null	0.47962028	
PPP1R3C	PPP1R3C	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	0.4792993	
IL16	IL16	IL16	interleukin 16 (lymphocyte chemoattractant factor)	0.4791959	
GPIHBP1	GPIHBP1	null	null	0.47891322	
EGR1	EGR1	EGR1	early growth response 1	0.47750413	
STAB1	STAB1	STAB1	stabilin 1	0.47741976	
FGD5	FGD5	FGD5	FYVE, RhoGEF and PH domain containing 5	0.47718325	
METTL7A	METTL7A	METTL7A	methyltransferase like 7A	0.47699064	
RASA4B	RASA4B	null	null	0.47684368	
LHPP	LHPP	LHPP	-	0.4765382	
MFSD8	MFSD8	null	null	0.47640753	
ATPIF1	ATPIF1	ATPIF1	ATPase inhibitory factor 1	0.4757445	
KRCC1	KRCC1	KRCC1	lysine-rich coiled-coil 1	0.47563168	
FOXN3	FOXN3	null	null	0.47558337	
RP11-174G6.5	RP11-174G6.5	null	null	0.47555304	
DCN	DCN	DCN	decorin	0.47439033	
C10orf10	C10orf10	C10ORF10	chromosome 10 open reading frame 10	0.47385523	
PCBP1-AS1	PCBP1-AS1	null	null	0.47370255	
DEF6	DEF6	DEF6	differentially expressed in FDCP 6 homolog (mouse)	0.47365332	
LLGL2	LLGL2	LLGL2	lethal giant larvae homolog 2 (Drosophila)	0.4732944	
TAGLN	TAGLN	TAGLN	transgelin	0.47319835	
RBM26-AS1	RBM26-AS1	null	null	0.47245866	
CD52	CD52	CD52	CD52 molecule	0.4724165	
MPPE1	MPPE1	MPPE1	metallophosphoesterase 1	0.47118914	
RP13-270P17.3	RP13-270P17.3	null	null	0.4711783	
SYK	SYK	SYK	spleen tyrosine kinase	0.47111785	
ABHD3	ABHD3	ABHD3	abhydrolase domain containing 3	0.47086453	
IL3RA	IL3RA	IL3RA	interleukin 3 receptor, alpha (low affinity)	0.47043085	
KCNMB1	KCNMB1	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	0.4700326	
DUS2	DUS2	null	null	0.4690169	
OLFML1	OLFML1	OLFML1	olfactomedin-like 1	0.46886072	
B3GNT2	B3GNT2	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	0.46867692	
HTR7P1	HTR7P1	null	null	0.46814528	
RP11-141O15.1	RP11-141O15.1	null	null	0.46730006	
MT-RNR2	MT-RNR2	MT-RNR2	mitochondrially encoded 16S RNA	0.46674055	
GJA4	GJA4	GJA4	gap junction protein, alpha 4, 37kDa (connexin 37)	0.46628752	
ST6GALNAC4	ST6GALNAC4	ST6GALNAC4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	0.46625996	
RASA4DP	RASA4DP	null	null	0.46600366	
FAIM3	FAIM3	FAIM3	Fas apoptotic inhibitory molecule 3	0.46599096	
HMHA1	HMHA1	HMHA1	histocompatibility (minor) HA-1	0.46564004	
GUCY1A3	GUCY1A3	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	0.46497482	
NFKBIZ	NFKBIZ	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	0.46463227	
PTK2B	PTK2B	PTK2B	PTK2B protein tyrosine kinase 2 beta	0.46383455	
BCL6	BCL6	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	0.46230546	
AP1G2	AP1G2	AP1G2	adaptor-related protein complex 1, gamma 2 subunit	0.461854	
RP11-373L24.1	RP11-373L24.1	null	null	0.4618537	
NPIPB3	NPIPB3	null	null	0.46172306	
NPIPB5	NPIPB5	null	null	0.46153334	
RASA4	RASA4	RASA4	RAS p21 protein activator 4	0.46110454	
CFP	CFP	CFP	complement factor properdin	0.4604076	
FABP5	FABP5	FABP5	fatty acid binding protein 5 (psoriasis-associated)	0.4598251	
RASGEF1B	RASGEF1B	RASGEF1B	RasGEF domain family, member 1B	0.45940015	
ZFP36	ZFP36	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	0.45871598	
MFSD9	MFSD9	null	null	0.45811316	
MAP3K8	MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	0.4579767	
FAM65B	FAM65B	null	null	0.4578779	
PCSK7	PCSK7	PCSK7	proprotein convertase subtilisin/kexin type 7	0.45733544	
RASGRP3	RASGRP3	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	0.45712224	
TMEM119	TMEM119	TMEM119	transmembrane protein 119	0.45708293	
CCS	CCS	CCS	copper chaperone for superoxide dismutase	0.45694652	
TXNIP	TXNIP	TXNIP	thioredoxin interacting protein	0.45617047	
LSP1	LSP1	LSP1	lymphocyte-specific protein 1	0.45593247	
LTB	LTB	LTB	lymphotoxin beta (TNF superfamily, member 3)	0.45560732	
RP11-326I11.3	RP11-326I11.3	null	null	0.45538732	
MT-ND6	MT-ND6	MT-ND6	mitochondrially encoded NADH dehydrogenase 6	0.45531487	
SEMA5A	SEMA5A	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	0.45445633	
AC062029.1	AC062029.1	null	null	0.45407048	
C8orf44	C8orf44	C8ORF44	chromosome 8 open reading frame 44	0.45393407	
TAGAP	TAGAP	TAGAP	T-cell activation GTPase activating protein	0.45380208	
LEPR	LEPR	LEPR	leptin receptor	0.4536499	
MFNG	MFNG	MFNG	manic fringe homolog (Drosophila)	0.45290568	
TMEM255B	TMEM255B	null	null	0.45213872	
FLI1	FLI1	FLI1	Friend leukemia virus integration 1	0.4521082	
RP11-162A23.5	RP11-162A23.5	null	null	0.4520277	
TMEM88	TMEM88	TMEM88	transmembrane protein 88	0.4512346	
TBC1D10C	TBC1D10C	TBC1D10C	TBC1 domain family, member 10C	0.45000887	
GALNT12	GALNT12	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	0.44993666	
FAM107B	FAM107B	FAM107B	family with sequence similarity 107, member B	0.44982886	
FOXS1	FOXS1	null	null	0.449626	
SLIT3	SLIT3	SLIT3	slit homolog 3 (Drosophila)	0.44938573	
PTPRCAP	PTPRCAP	PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein	0.44936988	
TAPSAR1	TAPSAR1	null	null	0.44925106	
IGHM	IGHM	IGHM	immunoglobulin heavy constant mu	0.4491342	
CD180	CD180	CD180	CD180 molecule	0.44877368	
ARHGAP9	ARHGAP9	ARHGAP9	Rho GTPase activating protein 9	0.44848874	
SLC2A9	SLC2A9	SLC2A9	solute carrier family 2 (facilitated glucose transporter), member 9	0.44804695	
PCED1B-AS1	PCED1B-AS1	null	null	0.4478401	
ICAM3	ICAM3	ICAM3	intercellular adhesion molecule 3	0.44768667	
PIK3R5	PIK3R5	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5, p101	0.4476222	
PIEZO1	PIEZO1	null	null	0.4474395	
CDC42SE2	CDC42SE2	CDC42SE2	CDC42 small effector 2	0.4470475	
FCGRT	FCGRT	FCGRT	Fc fragment of IgG, receptor, transporter, alpha	0.44657782	
NINJ2	NINJ2	NINJ2	ninjurin 2	0.44567463	
MTND4P12	MTND4P12	null	null	0.4454485	
AC116366.6	AC116366.6	null	null	0.44541517	
CYBA	CYBA	CYBA	cytochrome b-245, alpha polypeptide	0.44535774	
LMO2	LMO2	LMO2	LIM domain only 2 (rhombotin-like 1)	0.44527453	
ANKRD36B	ANKRD36B	null	null	0.4451498	
TMC8	TMC8	TMC8	transmembrane channel-like 8	0.4447758	
C20orf196	C20orf196	C20ORF196	chromosome 20 open reading frame 196	0.44476405	
ELL3	ELL3	ELL3	elongation factor RNA polymerase II-like 3	0.44463912	
COL14A1	COL14A1	COL14A1	collagen, type XIV, alpha 1 (undulin)	0.4441178	
CTA-963H5.5	CTA-963H5.5	null	null	0.4438444	
CTC-471J1.2	CTC-471J1.2	null	null	0.4436834	
CCDC80	CCDC80	CCDC80	coiled-coil domain containing 80	0.44276375	
CDKN2AIP	CDKN2AIP	null	null	0.44251177	
AP003419.11	AP003419.11	null	null	0.44228813	
JDP2	JDP2	JDP2	-	0.44226992	
RP11-215G15.5	RP11-215G15.5	null	null	0.44220823	
ATHL1	ATHL1	ATHL1	ATH1, acid trehalase-like 1 (yeast)	0.44179574	
TMEM91	TMEM91	TMEM91	transmembrane protein 91	0.44167453	
TMCO4	TMCO4	TMCO4	transmembrane and coiled-coil domains 4	0.44130638	
RPS26P11	RPS26P11	null	null	0.4412695	
FAM126B	FAM126B	FAM126B	family with sequence similarity 126, member B	0.44124514	
ACTB	ACTB	ACTB	actin, beta	0.44118178	
JUP	JUP	JUP	junction plakoglobin	0.44112322	
NRIP2	NRIP2	NRIP2	nuclear receptor interacting protein 2	0.44081864	
KIAA1107	KIAA1107	KIAA1107	KIAA1107	0.4407947	
RP11-285F7.2	RP11-285F7.2	null	null	0.44074437	
NPIPB11	NPIPB11	null	null	0.4405948	
TRIM34	TRIM34	TRIM34	tripartite motif-containing 34	0.4404124	
AC009469.1	AC009469.1	null	null	0.44027317	
MALL	MALL	MALL	mal, T-cell differentiation protein-like	0.43920717	
RP11-582J16.4	RP11-582J16.4	null	null	0.43908757	
