NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
IL18BP	IL18BP	IL18BP	interleukin 18 binding protein	0.7632174	
KCNMB1	KCNMB1	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	0.7629786	
NDUFS7	NDUFS7	NDUFS7	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	0.76233804	
CIITA	CIITA	CIITA	class II, major histocompatibility complex, transactivator	0.76197016	
C2orf16	C2orf16	C2ORF16	chromosome 2 open reading frame 16	0.75869846	
CALCOCO2	CALCOCO2	CALCOCO2	calcium binding and coiled-coil domain 2	0.7561215	
ABI3	ABI3	ABI3	ABI gene family, member 3	0.75573385	
TOR2A	TOR2A	TOR2A	torsin family 2, member A	0.75481385	
CCR5	CCR5	CCR5	chemokine (C-C motif) receptor 5	0.7538478	
GZMB	GZMB	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	0.75331146	
ABCA1	ABCA1	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	0.75257915	
SLC39A4	SLC39A4	SLC39A4	solute carrier family 39 (zinc transporter), member 4	0.75245905	
BTN3A1	BTN3A1	BTN3A1	butyrophilin, subfamily 3, member A1	0.7521867	
CD300C	CD300C	CD300C	CD300c molecule	0.75027406	
SIGLEC14	SIGLEC14	null	null	0.7499504	
PLA2G7	PLA2G7	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	0.74919677	
LILRA6	LILRA6	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	0.74863404	
FUOM	FUOM	null	null	0.7474477	
MFHAS1	MFHAS1	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	0.7468115	
APOBR	APOBR	null	null	0.7464657	
HLA-DOA	HLA-DOA	HLA-DOA	major histocompatibility complex, class II, DO alpha	0.7457306	
MPP1	MPP1	MPP1	membrane protein, palmitoylated 1, 55kDa	0.74315333	
ZDHHC18	ZDHHC18	ZDHHC18	zinc finger, DHHC-type containing 18	0.7410576	
HLA-DQB1	HLA-DQB1	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	0.7402068	
IGFLR1	IGFLR1	null	null	0.73968786	
TRNAU1AP	TRNAU1AP	null	null	0.73782396	
IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	0.7372415	
GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	0.73681796	
HIST1H3D	HIST1H3D	HIST1H3D	histone cluster 1, H3d	0.7344581	
IL32	IL32	IL32	interleukin 32	0.7335633	
NEK6	NEK6	NEK6	NIMA (never in mitosis gene a)-related kinase 6	0.7327176	
CD3E	CD3E	CD3E	CD3e molecule, epsilon (CD3-TCR complex)	0.73233515	
AGTRAP	AGTRAP	AGTRAP	angiotensin II receptor-associated protein	0.73211485	
ATP13A2	ATP13A2	ATP13A2	ATPase type 13A2	0.72875535	
FCGR1B	FCGR1B	FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	0.72774273	
MGAT4A	MGAT4A	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	0.7272371	
BAK1P1	BAK1P1	null	null	0.7268302	
ARAP1	ARAP1	null	null	0.7260217	
DPP7	DPP7	DPP7	dipeptidyl-peptidase 7	0.72500575	
TAP2	TAP2	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	0.720164	
FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	0.716892	
LRRC25	LRRC25	LRRC25	leucine rich repeat containing 25	0.71533215	
HVCN1	HVCN1	HVCN1	hydrogen voltage-gated channel 1	0.7146865	
CD84	CD84	CD84	CD84 molecule	0.7144362	
HLA-DRA	HLA-DRA	HLA-DRA	major histocompatibility complex, class II, DR alpha	0.71417254	
CMTM7	CMTM7	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	0.713967	
EOMES	EOMES	EOMES	eomesodermin homolog (Xenopus laevis)	0.7133715	
RAB4B	RAB4B	RAB4B	RAB4B, member RAS oncogene family	0.713188	
CXCR6	CXCR6	CXCR6	chemokine (C-X-C motif) receptor 6	0.71232724	
CD74	CD74	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	0.7111965	
DOK2	DOK2	DOK2	docking protein 2, 56kDa	0.7107959	
AKNA	AKNA	AKNA	AT-hook transcription factor	0.710519	
TBC1D9B	TBC1D9B	TBC1D9B	TBC1 domain family, member 9B (with GRAM domain)	0.7103155	
ANXA11	ANXA11	ANXA11	annexin A11	0.7100638	
MED18	MED18	MED18	mediator of RNA polymerase II transcription, subunit 18 homolog (S. cerevisiae)	0.70971	
ZNRD1	ZNRD1	ZNRD1	zinc ribbon domain containing 1	0.70692843	
TDRKH	TDRKH	TDRKH	tudor and KH domain containing	0.70451874	
GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	0.7045085	
HLA-DPB1	HLA-DPB1	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	0.70440227	
C6orf226	C6orf226	null	null	0.7038854	
TRBC2	TRBC2	TRBC2	T cell receptor beta constant 2	0.7037021	
GNGT2	GNGT2	GNGT2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	0.70259017	
CCL3	CCL3	CCL3	chemokine (C-C motif) ligand 3	0.70130545	
CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	0.70123804	
RASGEF1B	RASGEF1B	RASGEF1B	RasGEF domain family, member 1B	0.7008183	
MYO1F	MYO1F	MYO1F	myosin IF	0.6996863	
BATF2	BATF2	BATF2	basic leucine zipper transcription factor, ATF-like 2	0.6980451	
FTL	FTL	FTL	ferritin, light polypeptide	0.6980153	
FTLP3	FTLP3	null	null	0.69704396	
TYROBP	TYROBP	TYROBP	TYRO protein tyrosine kinase binding protein	0.6963176	
FAM20A	FAM20A	FAM20A	family with sequence similarity 20, member A	0.69626725	
GBP1	GBP1	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	0.69614846	
CCL4	CCL4	CCL4	chemokine (C-C motif) ligand 4	0.69550073	
HAVCR2	HAVCR2	HAVCR2	hepatitis A virus cellular receptor 2	0.69540966	
TRAF3IP3	TRAF3IP3	TRAF3IP3	TRAF3 interacting protein 3	0.69474226	
CILP	CILP	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	0.694184	
TIFA	TIFA	TIFA	-	0.69408655	
AC104698.1	AC104698.1	null	null	0.693784	
ACP5	ACP5	ACP5	acid phosphatase 5, tartrate resistant	0.69288665	
LAMTOR2	LAMTOR2	null	null	0.6916873	
BMS1P8	BMS1P8	null	null	0.6911904	
LILRB3	LILRB3	LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	0.6895421	
APOC1	APOC1	APOC1	apolipoprotein C-I	0.6893581	
NFAM1	NFAM1	NFAM1	NFAT activating protein with ITAM motif 1	0.6892224	
CD68	CD68	CD68	CD68 molecule	0.6889691	
HIST1H1C	HIST1H1C	HIST1H1C	histone cluster 1, H1c	0.68891054	
HLA-DRB5	HLA-DRB5	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	0.68839383	
PIK3R6	PIK3R6	null	null	0.6879361	
GSDMD	GSDMD	null	null	0.68752724	
LGMN	LGMN	LGMN	legumain	0.6875094	
BTN2A3P	BTN2A3P	null	null	0.6867266	
HLA-DPA1	HLA-DPA1	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	0.6862223	
AC007283.5	AC007283.5	null	null	0.68615496	
ZNRD1-AS1	ZNRD1-AS1	null	null	0.6858919	
TRAC	TRAC	TRAC	T cell receptor alpha constant	0.6848361	
PTAFR	PTAFR	PTAFR	platelet-activating factor receptor	0.6845098	
UCP2	UCP2	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	0.6842377	
FOXN2	FOXN2	FOXN2	forkhead box N2	0.6836897	
FGL2	FGL2	FGL2	fibrinogen-like 2	0.68310827	
IRF5	IRF5	IRF5	interferon regulatory factor 5	0.68275577	
SCPEP1	SCPEP1	SCPEP1	serine carboxypeptidase 1	0.6826923	
ANGPT2	ANGPT2	ANGPT2	angiopoietin 2	0.68130374	
HCP5	HCP5	HCP5	HLA complex P5	0.68083405	
COTL1	COTL1	COTL1	coactosin-like 1 (Dictyostelium)	0.6803778	
PTPN6	PTPN6	PTPN6	protein tyrosine phosphatase, non-receptor type 6	0.680074	
CD97	CD97	CD97	CD97 molecule	0.6794877	
CTC-479C5.12	CTC-479C5.12	null	null	0.6790415	
RARRES3	RARRES3	RARRES3	retinoic acid receptor responder (tazarotene induced) 3	0.67859834	
C4orf32	C4orf32	C4ORF32	chromosome 4 open reading frame 32	0.6785351	
TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	0.67829543	
TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.677483	
PTPN7	PTPN7	PTPN7	protein tyrosine phosphatase, non-receptor type 7	0.6767804	
ADAP2	ADAP2	null	null	0.6767461	
FCGR1C	FCGR1C	FCGR1C	Fc fragment of IgG, high affinity Ic, receptor (CD64)	0.67637736	
CTSS	CTSS	CTSS	cathepsin S	0.675243	
SLA2	SLA2	SLA2	Src-like-adaptor 2	0.6749293	
SNAI3-AS1	SNAI3-AS1	null	null	0.6744022	
BMP2K	BMP2K	BMP2K	BMP2 inducible kinase	0.67435706	
LPCAT3	LPCAT3	null	null	0.673682	
SLAMF7	SLAMF7	SLAMF7	SLAM family member 7	0.6731756	
DYSF	DYSF	DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	0.67309254	
TMPPE	TMPPE	null	null	0.67304695	
MAF	MAF	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.6727069	
GBP5	GBP5	GBP5	guanylate binding protein 5	0.67133945	
LCP1	LCP1	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	0.6706127	
HCST	HCST	HCST	hematopoietic cell signal transducer	0.6700002	
NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	0.6698607	
CD72	CD72	CD72	CD72 molecule	0.6688523	
CD2	CD2	CD2	CD2 molecule	0.6672316	
LILRA2	LILRA2	LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	0.66612303	
FAM195A	FAM195A	null	null	0.6655382	
CCL4L2	CCL4L2	CCL4L2	chemokine (C-C motif) ligand 4-like 2	0.66462773	
VCPIP1	VCPIP1	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	0.6637669	
SLAMF8	SLAMF8	SLAMF8	SLAM family member 8	0.6632241	
SPI1	SPI1	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	0.6622992	
RASAL3	RASAL3	null	null	0.6620968	
IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	0.66066974	
IMPG2	IMPG2	IMPG2	interphotoreceptor matrix proteoglycan 2	0.65851647	
RP11-94L15.2	RP11-94L15.2	null	null	0.65708905	
GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	0.657041	
NCF2	NCF2	NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	0.6570224	
LY86	LY86	LY86	lymphocyte antigen 86	0.65683717	
LAPTM5	LAPTM5	LAPTM5	lysosomal associated multispanning membrane protein 5	0.65655124	
LILRB2	LILRB2	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	0.65632516	
ARHGAP30	ARHGAP30	ARHGAP30	Rho GTPase activating protein 30	0.65545094	
DNASE2	DNASE2	DNASE2	deoxyribonuclease II, lysosomal	0.6540586	
MILR1	MILR1	null	null	0.65381813	
NUAK2	NUAK2	NUAK2	NUAK family, SNF1-like kinase, 2	0.65256196	
SH2D3C	SH2D3C	SH2D3C	SH2 domain containing 3C	0.65232193	
ZNF552	ZNF552	ZNF552	zinc finger protein 552	0.65217584	
VPS13D	VPS13D	VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	0.6513818	
GPR146	GPR146	GPR146	G protein-coupled receptor 146	0.65095717	
RXRA	RXRA	RXRA	retinoid X receptor, alpha	0.64978004	
MEA1	MEA1	MEA1	male-enhanced antigen 1	0.649098	
RP1-66C13.3	RP1-66C13.3	null	null	0.6489481	
NFKBID	NFKBID	null	null	0.6474458	
TFEB	TFEB	TFEB	transcription factor EB	0.6472385	
FGR	FGR	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.6470168	
FNBP1	FNBP1	FNBP1	formin binding protein 1	0.646611	
GMFG	GMFG	GMFG	glia maturation factor, gamma	0.6462389	
SERPINA3	SERPINA3	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	0.6461498	
FCER1G	FCER1G	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	0.64442456	
CAPG	CAPG	CAPG	capping protein (actin filament), gelsolin-like	0.6442293	
TMEM176B	TMEM176B	TMEM176B	transmembrane protein 176B	0.64355123	
KALRN	KALRN	KALRN	kalirin, RhoGEF kinase	0.6434416	
GPR65	GPR65	GPR65	G protein-coupled receptor 65	0.6434331	
GPR35	GPR35	GPR35	G protein-coupled receptor 35	0.64305407	
IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	0.64302576	
PILRA	PILRA	PILRA	paired immunoglobin-like type 2 receptor alpha	0.64271003	
ITGB2	ITGB2	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	0.64203805	
CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	0.640417	
BTN3A2	BTN3A2	BTN3A2	butyrophilin, subfamily 3, member A2	0.6401552	
SNX20	SNX20	null	null	0.6397344	
IL10RA	IL10RA	IL10RA	interleukin 10 receptor, alpha	0.63971233	
GBP4	GBP4	GBP4	guanylate binding protein 4	0.6393494	
LDHD	LDHD	LDHD	lactate dehydrogenase D	0.6391636	
DBP	DBP	DBP	D site of albumin promoter (albumin D-box) binding protein	0.6391411	
SIGLEC9	SIGLEC9	SIGLEC9	sialic acid binding Ig-like lectin 9	0.6383679	
DEGS1	DEGS1	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	0.6376137	
COL8A2	COL8A2	COL8A2	collagen, type VIII, alpha 2	0.63741726	
HCK	HCK	HCK	hemopoietic cell kinase	0.6373019	
SPINT1	SPINT1	SPINT1	serine peptidase inhibitor, Kunitz type 1	0.63675183	
PGDP1	PGDP1	null	null	0.6360301	
MRPL41	MRPL41	MRPL41	mitochondrial ribosomal protein L41	0.6359305	
TYMP	TYMP	null	null	0.6359153	
PIM1	PIM1	PIM1	pim-1 oncogene	0.63576746	
SLC12A7	SLC12A7	SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7	0.6355344	
CD8A	CD8A	CD8A	CD8a molecule	0.6354315	
VAV1	VAV1	VAV1	vav 1 oncogene	0.6349091	
CPVL	CPVL	CPVL	carboxypeptidase, vitellogenic-like	0.6345475	
AOAH	AOAH	AOAH	acyloxyacyl hydrolase (neutrophil)	0.63427126	
NAGLU	NAGLU	NAGLU	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB)	0.6342402	
STK10	STK10	STK10	serine/threonine kinase 10	0.6341317	
CXCL16	CXCL16	CXCL16	chemokine (C-X-C motif) ligand 16	0.6337816	
GPANK1	GPANK1	null	null	0.6305448	
SLC38A7	SLC38A7	null	null	0.6303947	
TRAF5	TRAF5	TRAF5	TNF receptor-associated factor 5	0.6296986	
COA6	COA6	null	null	0.62879056	
KYNU	KYNU	KYNU	kynureninase (L-kynurenine hydrolase)	0.6283565	
C6orf136	C6orf136	C6ORF136	chromosome 6 open reading frame 136	0.6273265	
LIPA	LIPA	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	0.6271855	
AC068580.6	AC068580.6	null	null	0.62707686	
HK3	HK3	HK3	hexokinase 3 (white cell)	0.6269709	
HMHA1	HMHA1	HMHA1	histocompatibility (minor) HA-1	0.6268197	
PSTPIP2	PSTPIP2	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	0.6262193	
RMND5B	RMND5B	RMND5B	required for meiotic nuclear division 5 homolog B (S. cerevisiae)	0.6258499	
TNFRSF11A	TNFRSF11A	TNFRSF11A	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	0.6257437	
LBX2-AS1	LBX2-AS1	null	null	0.62566245	
NCKAP1L	NCKAP1L	NCKAP1L	NCK-associated protein 1-like	0.6251677	
TEX264	TEX264	TEX264	testis expressed sequence 264	0.6249319	
CARD9	CARD9	CARD9	caspase recruitment domain family, member 9	0.62418944	
ALKBH6	ALKBH6	ALKBH6	alkB, alkylation repair homolog 6 (E. coli)	0.62292075	
BTK	BTK	BTK	Bruton agammaglobulinemia tyrosine kinase	0.6225133	
CLIC2	CLIC2	CLIC2	chloride intracellular channel 2	0.6221175	
AC008964.1	AC008964.1	null	null	0.6220053	
LGALS9	LGALS9	LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9)	0.6219118	
ZDHHC24	ZDHHC24	ZDHHC24	zinc finger, DHHC-type containing 24	0.6210085	
TMEM37	TMEM37	TMEM37	transmembrane protein 37	0.62031204	
PRKCH	PRKCH	PRKCH	protein kinase C, eta	0.6202337	
SLC6A6	SLC6A6	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	0.6201721	
ARHGAP25	ARHGAP25	ARHGAP25	Rho GTPase activating protein 25	0.6198856	
FAM173A	FAM173A	null	null	0.61885464	
SFMBT2	SFMBT2	SFMBT2	Scm-like with four mbt domains 2	0.61845815	
NR1H3	NR1H3	NR1H3	nuclear receptor subfamily 1, group H, member 3	0.61729574	
NLRC5	NLRC5	null	null	0.61651194	
BIN2	BIN2	BIN2	bridging integrator 2	0.61525416	
SCIMP	SCIMP	null	null	0.6145957	
PFDN6	PFDN6	PFDN6	prefoldin subunit 6	0.6141168	
TNFSF13B	TNFSF13B	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	0.6133193	
GIMAP4	GIMAP4	GIMAP4	GTPase, IMAP family member 4	0.6131585	
CD4	CD4	CD4	CD4 molecule	0.6128922	
ELMO1	ELMO1	ELMO1	engulfment and cell motility 1	0.61272204	
TPMT	TPMT	TPMT	thiopurine S-methyltransferase	0.61241454	
HAAO	HAAO	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	0.6121891	
LASP1	LASP1	LASP1	LIM and SH3 protein 1	0.611326	
AC108488.4	AC108488.4	null	null	0.61120147	
SASH3	SASH3	null	null	0.61117953	
CD27	CD27	null	null	0.61068356	
GIMAP5	GIMAP5	GIMAP5	GTPase, IMAP family member 5	0.6105329	
CD48	CD48	CD48	CD48 molecule	0.61008114	
PTPRC	PTPRC	PTPRC	protein tyrosine phosphatase, receptor type, C	0.6098892	
JAK3	JAK3	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	0.609878	
CD300A	CD300A	CD300A	CD300a molecule	0.6090227	
LTA4H	LTA4H	LTA4H	leukotriene A4 hydrolase	0.6089195	
LHFPL2	LHFPL2	LHFPL2	lipoma HMGIC fusion partner-like 2	0.60878175	
PLEK	PLEK	PLEK	pleckstrin	0.60860187	
SLC7A7	SLC7A7	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	0.6084596	
FCGR1A	FCGR1A	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	0.6083593	
IRF1	IRF1	IRF1	interferon regulatory factor 1	0.6082785	
ANKRD13A	ANKRD13A	ANKRD13A	ankyrin repeat domain 13A	0.60826087	
DLL4	DLL4	DLL4	delta-like 4 (Drosophila)	0.6078443	
GPC4	GPC4	GPC4	glypican 4	0.60727674	
DEF6	DEF6	DEF6	differentially expressed in FDCP 6 homolog (mouse)	0.60719764	
CD53	CD53	CD53	CD53 molecule	0.6070237	
FAM117A	FAM117A	FAM117A	family with sequence similarity 117, member A	0.60518885	
ERO1LB	ERO1LB	ERO1LB	ERO1-like beta (S. cerevisiae)	0.6048706	
SCD	SCD	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	0.60484076	
IPPK	IPPK	IPPK	inositol 1,3,4,5,6-pentakisphosphate 2-kinase	0.60416925	
CLEC2B	CLEC2B	CLEC2B	C-type lectin domain family 2, member B	0.60369176	
LAIR1	LAIR1	LAIR1	leukocyte-associated immunoglobulin-like receptor 1	0.6034729	
GMIP	GMIP	GMIP	GEM interacting protein	0.6030711	
GIMAP7	GIMAP7	GIMAP7	GTPase, IMAP family member 7	0.60292566	
NAGK	NAGK	NAGK	N-acetylglucosamine kinase	0.6027262	
RBMXL1	RBMXL1	RBMXL1	RNA binding motif protein, X-linked-like 1	0.60230064	
SNRPGP2	SNRPGP2	SNRPGP2	small nuclear ribonucleoprotein polypeptide G pseudogene 2	0.60214424	
LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	0.6011451	
TMEM69	TMEM69	TMEM69	transmembrane protein 69	0.60051185	
MYO1G	MYO1G	MYO1G	myosin IG	0.59843326	
CD86	CD86	CD86	CD86 molecule	0.5982727	
CTSZ	CTSZ	CTSZ	cathepsin Z	0.5975304	
AP5Z1	AP5Z1	null	null	0.5973287	
